Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
7819A	30649	BOEING	737-7Q8	Fixed Wing Multi-Engine	None	None	2002	Corporation	11/26/2014	11/30/2020	Turbo-fan	No	52513721	NO	CFM INTL	CFM56-7B24	07/08/2015	Standard	Transport	Yes
N101DA	42.125	DIAMOND AIRCRAFT IND GMBH	DA 42	Fixed Wing Multi-Engine	None	None	2006	Corporation	05/02/2007	09/30/2020	Reciprocating	No	50004267	NO	THIELERT	TAE-125-01	05/08/2006	Standard	Normal	No
N102DA	22214	BOEING	767-232	Fixed Wing Multi-Engine	None	None	1982	Corporation	03/21/1983	11/30/2019	Turbo-fan	No	50006156	NO	GE	CF6-80 SERIES	09/01/1982	Experimental	Exhibition	No
N102UW	0844	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/26/1999	04/30/2020	Turbo-fan	No	50006771	NO	CFM INTL.	CFM56 SERIES	06/21/1999	Standard	Transport	No
N103DA	3086	AIRCRAFT SALES & PARTS LTD	SUMMIT II	Powered Parachute	None	None	2002	Individual	08/28/2007	04/30/2021	2 Cycle	No	50010045	NO	ROTAX	582SER	11/26/2007	Experimental	Reg. Prior to 01/31/08	No
N103SY	17000390	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	03/27/2014	03/31/2020	Turbo-fan	No	50010600	NO	GE	CF34-8E5	03/27/2014	Standard	Transport	Yes
N103US	0861	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	06/18/1999	07/31/2020	Turbo-fan	No	50010654	NO	CFM INTL.	CFM56 SERIES	06/25/1999	Standard	Transport	No
N104	104633	LOCKHEED	CF104D	Fixed Wing Single-Engine	None	None	1962	Corporation	08/20/1999	01/31/2021	Turbo-jet	No	50011617	NO	GE	JT79 SERIES	04/04/1997	Experimental	Exhibition	No
N104DA	9266	BOMBARDIER INC	BD-700-1A10	Fixed Wing Multi-Engine	None	None	2007	Corporation	04/08/2010	01/31/2020	Turbo-fan	No	50011734	NO	ROLLS DEUT	BR700-710A220	10/31/2007	Standard	Transport	Yes
N104UA	26902	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50012523	NO	P&W	PW4000 SER	01/22/1998	Standard	Transport	Yes
N104UW	0863	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	07/02/1999	11/30/2020	Turbo-fan	No	50012547	NO	CFM INTL.	CFM56 SERIES	08/30/1999	Standard	Transport	No
N10575	145640	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	02/23/2018	02/28/2021	Turbo-fan	No	50015262	NO	ROLLS-ROYC	AE 3007A1P	09/28/2002	Standard	Transport	Yes
N105DA	3010653	AIR TRACTOR INC	AT-301	Fixed Wing Single-Engine	None	None	1986	Corporation	04/09/2010	01/31/2020	Reciprocating	No	50013623	NO	AMA/EXPR	UNKNOWN ENG	04/14/2010	Restricted	Agriculture and Pest Control	No
N105SY	17000395	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	04/10/2014	04/30/2020	Turbo-fan	No	50014356	NO	GE	CF34-8E5	04/11/2014	Standard	Transport	Yes
N105UW	0868	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	07/22/1999	10/31/2020	Turbo-fan	No	50014436	NO	CFM INTL.	CFM56 SERIES	08/30/1999	Standard	Transport	No
N106DA	1050	ENSTROM HELICOPTER CORP	280C	Rotorcraft	None	None	1976	Corporation	03/26/2018	03/31/2021	Reciprocating	No	50015512	NO	LYCOMING	HIO-360-E1AD	04/28/2011	Standard	Normal	No
N106SY	17000399	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/08/2014	05/31/2020	Turbo-fan	No	50016245	NO	GE	CF34-8E5	05/09/2014	Standard	Transport	Yes
N107SY	17000400	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/15/2014	05/31/2020	Turbo-fan	No	50020134	NO	GE	CF34-8E5	05/16/2014	Standard	Transport	Yes
N107UA	26900	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50020170	NO	P&W	PW4000 SER	08/19/1998	Standard	Transport	Yes
N107US	1052	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50020210	NO	CFM INTL.	CFM56 SERIES	08/03/1999	Standard	Transport	No
N108SY	17000401	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/23/2014	05/31/2020	Turbo-fan	No	50022023	NO	GE	CF34-8E5	05/23/2014	Standard	Transport	Yes
N108UA	100/13	URBAN AIR SRO	UFM-13 LAMBADA	Glider	None	None	2007	Corporation	08/28/2018	08/31/2021	4 Cycle	No	50022057	NO	ROTAX	912UL2	01/13/2008	Light Sport	Glider	No
N108UW	1061	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50022103	NO	CFM INTL.	CFM56 SERIES	09/27/1999	Standard	Transport	No
N109DL	T18208636	CESSNA	T182T	Fixed Wing Single-Engine	None	None	2006	Corporation	02/10/2014	02/29/2020	Reciprocating	No	50023171	NO	LYCOMING	TIO-540-AK1A	10/13/2006	Standard	Normal	No
N109SY	17000404	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/22/2014	05/31/2020	Turbo-fan	No	50023712	NO	GE	CF34-8E5	05/23/2014	Standard	Transport	Yes
N109UW	1065	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50023772	NO	CFM INTL.	CFM56 SERIES	09/27/1999	Standard	Transport	No
N110DL	001	LANE DONALD S	PIETENPOL AIRCAMPER	Fixed Wing Single-Engine	None	None	None	Individual	05/22/2018	05/31/2021	4 Cycle	No	50026211	NO	Unknown	Unknown	None	Unknown	None	No
N110SY	17000405	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	06/05/2014	06/30/2020	Turbo-fan	No	50026732	NO	GE	CF34-8E5	06/06/2014	Standard	Transport	Yes
N110UW	1112	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50027012	NO	CFM INTL.	CFM56 SERIES	08/07/2001	Standard	Transport	No
N11107	145654	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2002	Corporation	06/25/2003	07/31/2020	Turbo-fan	No	50031142	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N11109	145657	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2002	Corporation	03/27/2018	03/31/2021	Turbo-fan	No	50031144	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N11127	145697	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	03/10/2003	10/31/2019	Turbo-fan	No	50031250	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N11140	145732	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	06/16/2003	08/31/2020	Turbo-fan	No	50031347	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N11150	145756	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	10/21/2003	07/31/2021	Turbo-fan	No	50031412	NO	ROLLS-ROYC	AE3007 SER	10/23/2003	Standard	Transport	Yes
N11164	14500817	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	06/09/2004	08/31/2020	Turbo-fan	No	50031461	NO	ROLLS-ROYC	AE3007 SER	06/12/2004	Standard	Transport	Yes
N11165	14500819	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	06/24/2004	08/31/2020	Turbo-fan	No	50031462	NO	ROLLS-ROYC	AE3007 SER	06/26/2004	Standard	Transport	Yes
N11176	14500881	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	01/12/2005	04/30/2019	Turbo-fan	No	50031526	NO	ROLLS-ROYC	AE3007 SER	01/14/2005	Standard	Transport	Yes
N11181	14500904	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	04/13/2005	01/31/2020	Turbo-fan	No	50031564	NO	ROLLS-ROYC	AE3007 SER	04/14/2005	Standard	Transport	No
N11184	14500917	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	05/25/2005	04/30/2020	Turbo-fan	No	50031567	NO	ROLLS-ROYC	AE3007 SER	05/27/2005	Standard	Transport	Yes
N11187	14500927	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	07/13/2005	11/30/2020	Turbo-fan	No	50031572	NO	ROLLS-ROYC	AE3007 SER	07/15/2005	Standard	Transport	Yes
N11189	14500931	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	08/11/2005	01/31/2021	Turbo-fan	No	50031574	NO	ROLLS-ROYC	AE3007 SER	08/11/2005	Standard	Transport	No
N11191	14500935	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	09/14/2005	05/31/2021	Turbo-fan	No	50031627	NO	ROLLS-ROYC	AE3007 SER	09/15/2005	Standard	Transport	No
N11192	14500936	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	10/05/2005	07/31/2021	Turbo-fan	No	50031630	NO	ROLLS-ROYC	AE3007 SER	10/08/2005	Standard	Transport	Yes
N11193	14500938	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	10/19/2005	07/31/2021	Turbo-fan	No	50031631	NO	ROLLS-ROYC	AE3007 SER	10/20/2005	Standard	Transport	Yes
N11194	14500940	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	11/09/2005	10/31/2021	Turbo-fan	No	50031632	NO	ROLLS-ROYC	AE3007 SER	11/10/2005	Standard	Transport	No
N11199	14500953	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2006	Corporation	02/22/2006	12/31/2019	Turbo-fan	No	50031637	NO	ROLLS-ROYC	AE 3007A1E	02/23/2006	Standard	Transport	Yes
N111US	1114	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50030675	NO	CFM INTL.	CFM56 SERIES	12/27/1999	Standard	Transport	No
N11206	30578	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2000	Corporation	07/27/2000	10/31/2020	Turbo-fan	No	50033030	NO	CFM INTL.	CFM56 SERIES	07/25/2000	Standard	Transport	Yes
N112US	1134	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2009	02/29/2020	Turbo-fan	No	50032564	NO	CFM INTL.	CFM56 SERIES	02/04/2000	Standard	Transport	No
N113DA	1799	SLINGSBY	T59D KESTREL 19	Glider	None	None	1972	Government	06/30/2015	06/30/2021	None	No	50033644	NO	NONE	NONE	04/06/1973	Standard	Normal	No
N113SY	17000407	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	06/16/2014	06/30/2020	Turbo-fan	No	50034377	NO	GE	CF34-8E5	06/17/2014	Standard	Transport	Yes
N113UW	1141	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50034457	NO	CFM INTL.	CFM56 SERIES	02/04/2000	Standard	Transport	No
N114SY	17000410	EMBRAER	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	07/03/2014	07/31/2020	Turbo-fan	No	50036266	NO	GE	CF34-8E5	07/04/2014	Standard	Transport	Yes
N114UW	1148	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	1999	Corporation	12/30/2015	12/31/2021	Turbo-fan	No	50036346	NO	CFM INTL.	CFM56 SERIES	02/16/2000	Standard	Transport	No
N11526	145410	EMBRAER	EMB-135LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	05/30/2018	05/31/2021	Turbo-fan	No	50040603	NO	ALLISON	AE 3007A	04/07/2001	Standard	Transport	Yes
N11535	145518	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	07/10/2002	10/31/2020	Turbo-fan	No	50040645	NO	ROLLS-ROYC	AE 3007A1P	10/12/2001	Standard	Transport	Yes
N11536	145520	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	07/10/2002	10/31/2020	Turbo-fan	No	50040646	NO	ROLLS-ROYC	AE 3007A1P	10/19/2001	Standard	Transport	Yes
N11539	145536	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	10/13/2017	10/31/2020	Turbo-fan	No	50040651	NO	ROLLS-ROYC	AE 3007A1P	12/07/2001	Standard	Transport	Yes
N11544	145557	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	10/13/2017	10/31/2020	Turbo-fan	No	50040707	NO	ROLLS-ROYC	AE 3007A1P	01/26/2002	Standard	Transport	Yes
N11547	145563	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	10/16/2017	10/31/2020	Turbo-fan	No	50040712	NO	ROLLS-ROYC	AE 3007A1P	02/09/2002	Standard	Transport	Yes
N11548	145565	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	10/16/2017	10/31/2020	Turbo-fan	No	50040713	NO	ROLLS-ROYC	AE 3007A1P	02/22/2002	Standard	Transport	Yes
N11551	145411	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	05/30/2002	04/30/2020	Turbo-fan	No	50040747	NO	ROLLS-ROYC	AE 3007A1P	04/12/2002	Standard	Transport	Yes
N11565	145621	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	08/23/2002	01/31/2021	Turbo-fan	No	50041016	NO	ROLLS-ROYC	AE 3007A1P	07/27/2002	Standard	Transport	Yes
N116SY	17000411	EMBRAER	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	07/03/2014	07/31/2020	Turbo-fan	No	50042044	NO	GE	CF34-8E5	07/07/2014	Standard	Transport	Yes
N116UA	26908	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50042100	NO	P&W	PW4000 SER	12/28/1998	Standard	Transport	Yes
N117DL	31165	BELL HELICOPTER TEXTRON	212	Rotorcraft	None	None	1980	Corporation	01/14/2016	01/31/2022	Turbo-shaft	No	50043212	NO	P&W CANADA	PT6T-3B	02/06/2016	Standard	Transport	No
N117SY	17000416	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	08/14/2014	08/31/2020	Turbo-fan	No	50043733	NO	GE	CF34-8E5	08/15/2014	Standard	Transport	Yes
N117UW	1224	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	08/11/2000	01/31/2021	Turbo-fan	No	50044013	NO	CFM INTL.	CFM56 SERIES	07/05/2000	Standard	Transport	No
N118DL	258607	RAYTHEON AIRCRAFT COMPANY	HAWKER 800XP	Fixed Wing Multi-Engine	None	None	2003	Corporation	11/17/2015	11/30/2018	Turbo-fan	No	50045101	NO	HONEYWELL	TFE-731-SER	03/18/2003	Standard	Transport	No
N118SY	17000420	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	08/28/2014	08/31/2020	Turbo-fan	No	50045622	NO	GE	CF34-8E5	08/29/2014	Standard	Transport	Yes
N118US	1264	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	09/14/2000	04/30/2021	Turbo-fan	No	50045676	NO	CFM INTL.	CFM56 SERIES	09/28/2000	Standard	Transport	No
N119DL	7436	CASE GRANT	SPORTSMAN GS-2	Fixed Wing Single-Engine	None	None	2016	Individual	03/17/2016	03/31/2019	Reciprocating	No	50046770	NO	AMA/EXPR	UNKNOWN ENG	04/06/2016	Experimental	Amateur Built	Yes
N119SY	17000421	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	09/18/2014	09/30/2020	Turbo-fan	No	50047511	NO	GE	CF34-8E5	09/19/2014	Standard	Transport	Yes
N119UA	28812	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50047545	NO	P&W	PW4000 SER	03/29/1999	Standard	Transport	Yes
N119US	1268	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	08/18/2000	01/31/2021	Turbo-fan	No	50047565	NO	CFM INTL.	CFM56 SERIES	09/05/2000	Standard	Transport	No
N1200K	28457	BOEING	767-332	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/13/1998	03/31/2020	Turbo-fan	No	50053024	NO	P&W	PW4000 SER	04/10/1998	Standard	Transport	Yes
N1201P	28458	BOEING	767-332	Fixed Wing Multi-Engine	None	None	1998	Corporation	04/22/1998	03/31/2020	Turbo-fan	No	50053073	NO	P&W	PW4000 SER	04/17/1998	Standard	Transport	Yes
N120SY	17000425	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	09/25/2014	09/30/2020	Turbo-fan	No	50052531	NO	GE	CF34-8E5	09/26/2014	Standard	Transport	Yes
N120UA	29166	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50052565	NO	P&W	PW4000 SER	04/11/1999	Standard	Transport	No
N12109	27299	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1994	Corporation	10/15/2014	10/31/2020	Turbo-fan	No	50054743	NO	ROLLS-ROYC	RB.211 SERIES	12/05/1994	Standard	Transport	Yes
N12114	27556	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1995	Corporation	12/23/2013	12/31/2019	Turbo-fan	No	50055001	NO	ROLLS-ROYC	RB.211 SERIES	07/15/1995	Standard	Transport	No
N12116	27558	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1996	Corporation	12/31/2013	12/31/2019	Turbo-fan	No	50055003	NO	ROLLS-ROYC	RB.211 SERIES	03/27/1996	Standard	Transport	No
N12125	28967	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1998	Corporation	02/02/1998	09/30/2019	Turbo-fan	No	50055045	NO	ROLLS-ROYC	RB.211 SERIES	01/30/1998	Standard	Transport	No
N12135	145718	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	05/07/2003	04/30/2020	Turbo-fan	No	50055110	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N12136	145719	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	05/14/2003	04/30/2020	Turbo-fan	No	50055111	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N12142	145735	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	06/26/2003	08/31/2020	Turbo-fan	No	50055150	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N12145	145745	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2003	Corporation	08/26/2003	01/31/2021	Turbo-fan	No	50055153	NO	ALLISON	AE 3007A1/3	08/27/2003	Standard	Transport	Yes
N12157	145787	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	02/19/2004	12/31/2019	Turbo-fan	No	50055220	NO	ROLLS-ROYC	AE3007 SER	02/21/2004	Standard	Transport	Yes
N12160	145799	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	04/14/2004	01/31/2020	Turbo-fan	No	50055254	NO	ROLLS-ROYC	AE3007 SER	04/16/2004	Standard	Transport	Yes
N12163	14500811	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	05/26/2004	04/30/2020	Turbo-fan	No	50055257	NO	ROLLS-ROYC	AE 3007A1P	05/28/2004	Standard	Transport	Yes
N12166	14500831	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	07/28/2004	11/30/2020	Turbo-fan	No	50055262	NO	ROLLS-ROYC	AE3007 SER	07/29/2004	Standard	Transport	Yes
N12167	14500834	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	07/29/2004	11/30/2020	Turbo-fan	No	50055263	NO	ROLLS-ROYC	AE3007 SER	07/30/2004	Standard	Transport	Yes
N12172	14500864	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	10/27/2004	07/31/2021	Turbo-fan	No	50055321	NO	ROLLS-ROYC	AE3007 SER	10/28/2004	Standard	Transport	Yes
N12175	14500878	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2004	Corporation	12/15/2004	01/31/2022	Turbo-fan	No	50055324	NO	ROLLS-ROYC	AE3007 SER	12/17/2004	Standard	Transport	Yes
N12195	14500943	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/07/2005	01/31/2022	Turbo-fan	No	50055432	NO	ROLLS-ROYC	AE 3007C	12/08/2005	Standard	Transport	No
N121SY	17000430	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	10/09/2014	10/31/2020	Turbo-fan	No	50054420	NO	GE	CF34-8E5	10/10/2014	Standard	Transport	Yes
N121UW	1294	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	09/22/2000	04/30/2021	Turbo-fan	No	50054500	NO	CFM INTL.	CFM56 SERIES	09/28/2000	Standard	Transport	No
N12201	14500959	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2006	Corporation	04/19/2006	01/31/2020	Turbo-fan	No	50056622	NO	ROLLS-ROYC	AE 3007A1E	04/20/2006	Standard	Transport	Yes
N12216	28776	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1998	Corporation	06/27/2018	06/30/2021	Turbo-fan	No	50056672	NO	CFM INTL.	CFM56 SERIES	07/31/1998	Standard	Transport	Yes
N12218	28778	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1998	Corporation	08/09/2018	08/31/2021	Turbo-fan	No	50056674	NO	CFM INTL.	CFM56 SERIES	08/13/1998	Standard	Transport	Yes
N12221	28930	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1998	Corporation	12/02/1998	01/31/2022	Turbo-fan	No	50056730	NO	CFM INTL.	CFM56 SERIES	11/29/1998	Standard	Transport	Yes
N12225	28934	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1998	Corporation	03/28/2017	03/31/2020	Turbo-fan	No	50056734	NO	CFM INTL.	CFM56 SERIES	12/21/1998	Standard	Transport	Yes
N12238	28804	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1999	Corporation	10/12/1999	07/31/2021	Turbo-fan	No	50057002	NO	CFM INTL.	CFM56 SERIES	10/07/1999	Standard	Transport	Yes
N122DL	C0567	CZECH SPORT AIRCRAFT A S	SPORTCRUISER	Fixed Wing Single-Engine	None	None	2016	Corporation	01/31/2017	01/31/2020	4 Cycle	No	50055566	NO	ROTAX	912ULS	09/29/2016	Light Sport	Airplane	No
N122SY	17000431	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	11/06/2014	11/30/2020	Turbo-fan	No	50056307	NO	GE	CF34-8E5	11/07/2014	Standard	Transport	Yes
N122UA	29168	BOEING	747-422	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	50056343	NO	P&W	PW4000 SER	06/10/1999	Standard	Transport	Yes
N122US	1298	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/30/2000	10/31/2021	Turbo-fan	No	50056363	NO	CFM INTL.	CFM56 SERIES	10/16/2000	Standard	Transport	No
N12349	001	GORDON MILLER	SUPER BEE	Rotorcraft	None	None	None	Individual	10/03/2018	10/31/2021	2 Cycle	No	50060735	NO	Unknown	Unknown	None	Unknown	None	No
N123UW	1310	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/20/2000	10/31/2021	Turbo-fan	No	50060256	NO	CFM INTL.	CFM56 SERIES	11/06/2000	Standard	Transport	No
N124SY	17000439	EMBRAER S A	ERJ 170-200 LR	Fixed Wing Multi-Engine	None	None	2014	Corporation	11/19/2014	11/30/2020	Turbo-fan	No	50062065	NO	GE	CF34-8E5	11/21/2014	Standard	Transport	Yes
N124US	1314	AIRBUS INDUSTRIE	A320-214	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/21/2000	10/31/2021	Turbo-fan	No	50062141	NO	CFM INTL.	CFM56 SERIES	12/06/2000	Standard	Transport	No
N12528	145504	EMBRAER	EMB-135LR	Fixed Wing Multi-Engine	None	None	None	Corporation	05/31/2002	04/30/2020	Turbo-fan	No	50064404	NO	Unknown	Unknown	None	Unknown	None	No
N12530	145533	EMBRAER	EMB-135LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	05/31/2002	04/30/2020	Turbo-fan	No	50064437	NO	ROLLS-ROYC	AE 3007A1P	11/30/2001	Standard	Transport	Yes
N12540	145537	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2001	Corporation	10/13/2017	10/31/2020	Turbo-fan	No	50064502	NO	ROLLS-ROYC	AE 3007A1P	12/07/2001	Standard	Transport	Yes
N12552	145583	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	05/30/2002	04/30/2020	Turbo-fan	No	50064547	NO	ROLLS-ROYC	AE 3007A1P	04/13/2002	Standard	Transport	Yes
N12563	145612	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	06/27/2002	08/31/2020	Turbo-fan	No	50064613	NO	ROLLS-ROYC	AE 3007A1P	06/29/2002	Standard	Transport	Yes
N12564	145618	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	08/24/2018	08/31/2021	Turbo-fan	No	50064614	NO	ROLLS-ROYC	AE 3007A1P	07/20/2002	Standard	Transport	Yes
N12567	145623	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2002	Corporation	08/26/2002	01/31/2021	Turbo-fan	No	50064617	NO	ROLLS-ROYC	AE 3007A1P	08/02/2002	Standard	Transport	Yes
