Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N340	3008	STOUT GORDON	GLASAIR III	Fixed Wing Single-Engine	None	None	1992	Individual	04/10/2017	04/30/2020	Reciprocating	No	50736515	NO	LYCOMING	IO-540 SER	08/08/1992	Experimental	Amateur Built	No
N340LV	23738	BOEING	737-3K2	Fixed Wing Multi-Engine	None	None	1987	Corporation	08/07/2003	02/28/2021	Turbo-fan	No	50737134	NO	CFM INTL.	CFM56 SERIES	01/25/2000	Standard	Transport	No
N340NB	1714	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50737174	NO	CFM INTL.	CFM56 SERIES	04/30/2002	Standard	Transport	No
N340NW	372	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1992	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50737217	NO	CFM INTL.	CFM56 SERIES	07/19/1996	Standard	Transport	No
N341	TC-2369	BEECH	95-B55 (T42A)	Fixed Wing Multi-Engine	None	None	1981	Individual	02/01/2017	02/29/2020	Reciprocating	No	50740404	NO	CONT MOTOR	I0-470 SERIES	01/13/1981	Standard	Normal	No
N34110	145658	EMBRAER	EMB-145XR	Fixed Wing Multi-Engine	None	None	2002	Corporation	03/28/2018	03/31/2021	Turbo-fan	No	50741631	NO	ROLLS-ROYC	AE3007 SER	02/25/2005	Standard	Transport	Yes
N34131	28971	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1998	Corporation	06/10/1998	07/31/2020	Turbo-fan	No	50741740	NO	ROLLS-ROYC	RB.211 SERIES	06/02/1998	Standard	Transport	Yes
N34137	30229	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1999	Corporation	11/30/1999	10/31/2021	Turbo-fan	No	50741746	NO	ROLLS-ROYC	RB.211 SERIES	11/24/1999	Standard	Transport	Yes
N341NB	1738	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50741063	NO	CFM INTL.	CFM56 SERIES	06/26/2002	Standard	Transport	No
N341NW	380	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1992	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50741106	NO	CFM INTL.	CFM56 SERIES	07/08/1996	Standard	Transport	No
